Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,DroughtMort,
0, eco1, 1, 1, 0, 1726.1, 20, 0, 0, 0, 0, 3.5, 83.8, 0, 0, 0, 9.4, 3.3, 11.6, 3.9, 1, 0.2, 0, 0, 586.5, 1.9, 692, 445.7, 0, 0, 0.1, 0.1, 0.1, 0, 0, 0, 0, 0, 11.7, 1.9, 13.8, 52.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83.6, 0, 0, 0, 
10, eco1, 1, 1, -158.3, 1138.4, 2326, 183.3, 62.3, 36, 37.4, 1.74, 107.7, 2.6, 11.5, 3.4, 1081.9, 378.7, 41.8, 19.8, 18.2, 53, 14, 19.8, 273.5, 301.6, 112.7, 450.7, 0.6, 0.1, 10, 7.7, 0.4, 0.4, 0.1, 1.3, 0.1, 1.2, 6.4, 22.8, 1.9, 53, 0, -0.2, 0, 0.1, 0.7, 0.9, -0.9, 0, 24.52, 0.95, 0.18, 0, 0, 2.3, 1.4, 88.4, 0.13, 0, 0, 
20, eco1, 1, 1, -63.8, 1306.5, 4771, 131.4, 44.7, 22.4, 79.7, 1.53, 136.4, 2.8, 16.9, 5.1, 2226, 779.1, 91.3, 49, 18.8, 67.6, 22.3, 27.5, 335.2, 377.6, 139, 454.7, 0.9, 0.2, 20.6, 15.9, 0.9, 1, 0.1, 1.7, 0.1, 1.6, 8.2, 27.7, 2.6, 53.4, 0, -0.2, 0, 0.1, 0.8, 0.5, -1.2, 0, 24.66, 1.37, 0.49, 0, 0, 2.6, 0.9, 96.9, 0.24, 0, 0, 
30, eco1, 1, 1, -135.9, 1563.7, 6348, 228.3, 77.6, 41.8, 107.6, 1.86, 161, 4.5, 14.1, 4.2, 2969.6, 1039.4, 117.2, 58.2, 21.4, 70.1, 22.5, 26.2, 434.5, 496.7, 172.6, 459.8, 0.8, 0.2, 27.5, 21.2, 1.1, 1.2, 0.1, 1.7, 0.1, 1.5, 9.6, 36.6, 3.5, 53.9, 0, -0.3, 0, 0.2, 1.1, 1.2, -1.6, 0, 24.46, 2.28, 0.34, 0, 0, 2.8, 1.7, 109, 0.16, 0, 0, 
40, eco1, 1, 1, -125.5, 1794.8, 7757, 282.6, 96.1, 69.8, 131.5, 1.89, 186, 7.4, 22.4, 6.7, 3623.7, 1268.3, 102.2, 50.6, 21.6, 69.5, 21.7, 24.9, 507.2, 626.1, 194.8, 466.7, 1.2, 0.3, 33.6, 25.9, 1, 1.1, 0.1, 1.7, 0.1, 1.5, 10.4, 48.4, 4.1, 54.7, 0.1, -0.4, 0, 0.3, 1.7, 2.6, -2.2, 0, 24.64, 7.16, 0.79, 0, 0, 3.1, 2.8, 123, 0.13, 0, 0, 
50, eco1, 1, 1, -116.2, 2068.8, 9047, 265.5, 90.3, 53.1, 154.7, 1.82, 212, 6.4, 19.7, 5.9, 4232.5, 1481.4, 153.4, 80.3, 23.4, 77.2, 25.3, 29.7, 598.3, 748.1, 247.4, 475.1, 1.1, 0.2, 39.2, 30.2, 1.5, 1.7, 0.1, 1.9, 0.1, 1.7, 11.8, 59.4, 5.6, 55.7, 0, -0.3, 0, 0.2, 1.4, 2, -2.4, 0, 24.74, 3.69, 0.53, 0, 0, 3.1, 2.1, 138.2, 0.17, 0, 0, 
60, eco1, 1, 1, -85.1, 2346.3, 10045, 264.8, 90, 53, 172.6, 2.01, 237.5, 7.4, 19.7, 5.9, 4701.6, 1645.6, 171.8, 90.1, 23.3, 78.2, 26.2, 30.2, 683.7, 891.2, 286.3, 485.1, 1.1, 0.2, 43.5, 33.6, 1.6, 1.9, 0.1, 1.9, 0.1, 1.8, 12.9, 72.8, 7, 57, 0, -0.3, 0, 0.1, 1.5, 2.4, -2.7, 0, 24.69, 4.41, 0.62, 0, 0, 3.1, 2.1, 155.6, 0.19, 0, 0, 
70, eco1, 1, 1, -62.9, 2572.5, 10722, 264.3, 89.9, 52.9, 184.9, 2.27, 259.8, 8.2, 19.6, 5.9, 5020.1, 1757, 184.3, 96.9, 23.3, 78.1, 26.3, 30.2, 742.2, 1018.1, 315.5, 496.7, 1.1, 0.2, 46.5, 35.9, 1.8, 2, 0.1, 1.9, 0.1, 1.8, 13.6, 86, 8.1, 58.5, 0, -0.3, 0, 0.1, 1.6, 2.8, -3.1, 0, 24.69, 5.04, 0.71, 0, 0, 3.1, 2.1, 172.4, 0.22, 0, 0, 
80, eco1, 1, 1, -46.8, 2751.1, 11181, 264, 89.8, 52.8, 193.2, 2.53, 278.5, 8.9, 19.6, 5.9, 5235.8, 1832.5, 192.8, 101.5, 23.3, 78, 26.3, 30.1, 782, 1122.4, 337.3, 509.5, 1.1, 0.2, 48.5, 37.4, 1.8, 2.1, 0.1, 1.9, 0.1, 1.8, 14, 97.7, 9, 60.2, 0, -0.3, 0, 0.1, 1.7, 3.2, -3.3, 0, 24.69, 5.57, 0.8, 0, 0, 3.1, 2.1, 187.4, 0.24, 0, 0, 
90, eco1, 1, 1, -35.4, 2889.7, 11491, 263.8, 89.7, 52.8, 198.9, 2.81, 293.6, 9.4, 19.6, 5.9, 5381.6, 1883.6, 198.6, 104.6, 23.3, 77.9, 26.3, 30.1, 809, 1204.2, 353.2, 523.3, 1.1, 0.2, 49.8, 38.4, 1.9, 2.2, 0.1, 1.9, 0.1, 1.8, 14.3, 106.8, 9.9, 62.2, 0, -0.3, 0, 0.1, 1.7, 3.5, -3.3, 0, 24.69, 5.98, 0.87, 0, 0, 4.9, 2.1, 199.9, 0.27, 0, 0, 
100, eco1, 1, 1, -27.3, 2996.4, 11700, 263.6, 89.6, 52.7, 202.7, 3.19, 306.3, 9.8, 19.6, 5.9, 5479.9, 1917.9, 202.5, 106.7, 23.2, 77.9, 26.3, 30.1, 827.4, 1266.6, 364.7, 537.8, 1.1, 0.2, 50.7, 39.1, 1.9, 2.2, 0.1, 1.9, 0.1, 1.8, 14.4, 114.2, 10.9, 64.3, 0, -0.3, 0, 0.1, 1.7, 3.5, -3.3, 0, 24.69, 6.3, 0.96, 0, 0, 4.9, 2.1, 210.9, 0.3, 0, 0, 
